               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12023,            0.083287,            0.086882,          7.0886e-05,            0.023333,          0.00011208,          1.5068e-05,             0.10812,              0.1238,            0.084493,              0.0865,              0.0015,              0.0015
                   1,             0.10256,             0.11621,              0.0847,           0.0050105,            0.066655,           0.0047454,          0.00092521,            0.088242,             0.14345,            0.083124,            0.072094,           0.0030939,           0.0030939
                   2,            0.088676,             0.10212,            0.082916,           0.0069351,            0.019702,           0.0048025,           0.0012629,            0.075951,             0.12477,            0.080155,            0.057681,           0.0046814,           0.0046814
                   3,            0.081941,             0.11499,            0.080397,             0.01342,            0.059108,            0.018476,           0.0068474,            0.076412,             0.13033,             0.07932,            0.043263,           0.0062626,           0.0062626
                   4,            0.080077,              0.1008,            0.078804,             0.02895,            0.041664,            0.017823,           0.0037894,            0.070942,             0.10135,            0.077397,            0.028837,           0.0078374,           0.0078374
                   5,            0.077043,             0.10739,            0.077864,           0.0084959,            0.021688,           0.0088514,           0.0035946,            0.081639,            0.090718,            0.076225,            0.014406,           0.0094059,           0.0094059
                   6,            0.075989,             0.09512,            0.077264,            0.012529,            0.091578,            0.014458,           0.0064105,             0.06977,            0.087085,             0.07559,           0.0098812,           0.0098812,           0.0098812
                   7,            0.072213,            0.092941,            0.076987,             0.53501,             0.04581,            0.014007,           0.0061366,            0.071391,            0.089689,            0.075143,           0.0098812,           0.0098812,           0.0098812
                   8,             0.06763,            0.086764,            0.076454,            0.018925,            0.083317,            0.027221,            0.012987,            0.070016,             0.12212,            0.074733,           0.0098614,           0.0098614,           0.0098614
                   9,            0.061785,            0.097957,            0.076142,            0.020753,            0.098725,            0.022137,            0.012376,            0.057299,            0.099577,            0.074672,           0.0098416,           0.0098416,           0.0098416
                  10,             0.06271,            0.092518,            0.076078,            0.061366,             0.10977,             0.04435,            0.017535,            0.052132,             0.10311,            0.074632,           0.0098218,           0.0098218,           0.0098218
                  11,            0.056597,            0.090674,            0.075898,            0.031416,             0.12562,            0.031094,            0.018171,            0.059649,             0.10003,            0.074457,            0.009802,            0.009802,            0.009802
                  12,            0.057201,            0.090509,            0.075461,            0.024093,             0.12493,            0.044854,            0.023232,            0.050404,            0.098906,            0.074402,           0.0097822,           0.0097822,           0.0097822
                  13,            0.053476,            0.084987,            0.075625,            0.030906,              0.2409,             0.05359,              0.0324,            0.048765,            0.086485,            0.073811,           0.0097624,           0.0097624,           0.0097624
                  14,            0.052142,            0.093798,            0.075754,            0.037705,             0.22242,            0.085233,             0.06084,            0.042992,             0.08291,            0.074132,           0.0097426,           0.0097426,           0.0097426
                  15,            0.052431,            0.087615,            0.075637,            0.038568,             0.21035,            0.057345,            0.043556,            0.046031,            0.076581,            0.074106,           0.0097228,           0.0097228,           0.0097228
                  16,            0.048966,             0.08494,            0.075599,            0.035786,             0.19165,             0.05776,            0.024503,            0.052429,             0.07573,            0.074177,            0.009703,            0.009703,            0.009703
                  17,            0.049248,            0.081205,            0.075132,            0.027568,             0.35185,            0.070911,             0.04648,            0.043503,            0.073044,            0.073977,           0.0096832,           0.0096832,           0.0096832
                  18,            0.047491,            0.088609,            0.075196,            0.047232,             0.31538,             0.07496,            0.048089,            0.040902,            0.069914,            0.074225,           0.0096634,           0.0096634,           0.0096634
                  19,            0.045698,            0.083106,            0.075419,            0.042992,             0.28141,            0.094468,            0.058954,              0.0441,            0.067223,            0.074048,           0.0096436,           0.0096436,           0.0096436
                  20,            0.044703,            0.081987,            0.074872,             0.03691,              0.2421,            0.086498,            0.062648,            0.041248,            0.068716,            0.074129,           0.0096238,           0.0096238,           0.0096238
                  21,            0.044063,            0.078258,            0.075013,             0.11782,             0.31159,             0.10772,            0.063157,            0.037471,            0.066323,            0.074061,            0.009604,            0.009604,            0.009604
                  22,            0.044016,            0.075888,            0.075053,            0.034491,             0.28878,            0.071455,            0.049531,             0.03541,            0.064357,            0.074143,           0.0095842,           0.0095842,           0.0095842
                  23,            0.043393,            0.075534,            0.074685,             0.11809,             0.47639,             0.10227,            0.066889,            0.035323,            0.068768,            0.073678,           0.0095644,           0.0095644,           0.0095644
                  24,            0.043958,            0.076283,            0.074864,             0.43732,             0.27419,            0.078728,            0.048276,            0.036541,            0.065758,            0.073893,           0.0095446,           0.0095446,           0.0095446
                  25,            0.044704,            0.080472,            0.074888,            0.082233,             0.34776,               0.105,            0.072931,            0.034892,            0.065068,            0.073707,           0.0095248,           0.0095248,           0.0095248
                  26,            0.042501,            0.074248,            0.074498,              0.1189,             0.38993,             0.11079,            0.077955,            0.031507,            0.064075,            0.073766,            0.009505,            0.009505,            0.009505
                  27,            0.042123,            0.075364,            0.074584,              0.1188,              0.3907,             0.10271,             0.05684,             0.03747,            0.065234,            0.073787,           0.0094852,           0.0094852,           0.0094852
                  28,            0.040308,            0.075102,            0.074447,            0.041849,              0.3519,             0.10985,            0.073968,            0.036496,            0.065408,            0.073306,           0.0094654,           0.0094654,           0.0094654
                  29,            0.040621,            0.073526,            0.074548,             0.12943,             0.33205,             0.11953,            0.094307,             0.02969,            0.062341,            0.073225,           0.0094456,           0.0094456,           0.0094456
                  30,            0.040771,            0.072444,             0.07407,            0.043544,             0.37862,             0.10781,            0.074946,            0.030254,            0.062326,            0.073153,           0.0094258,           0.0094258,           0.0094258
                  31,            0.038998,             0.07098,              0.0741,             0.11432,              0.2423,            0.084612,            0.063791,            0.036442,             0.07948,             0.07317,            0.009406,            0.009406,            0.009406
                  32,            0.041245,             0.07403,             0.07378,             0.03954,             0.30038,            0.072324,            0.052748,            0.033639,            0.064061,             0.07313,           0.0093862,           0.0093862,           0.0093862
                  33,            0.040852,            0.074356,            0.073877,            0.042683,             0.35599,             0.10458,            0.071633,            0.034911,            0.065089,            0.072912,           0.0093664,           0.0093664,           0.0093664
                  34,            0.039225,            0.072609,            0.073968,             0.39327,             0.30488,             0.10464,            0.075669,            0.032759,            0.064584,            0.072611,           0.0093466,           0.0093466,           0.0093466
                  35,            0.039429,            0.068181,            0.073813,            0.042432,             0.37274,            0.086715,            0.064462,            0.033697,            0.059942,             0.07255,           0.0093268,           0.0093268,           0.0093268
                  36,            0.038233,            0.067832,             0.07377,             0.44769,             0.26042,            0.096287,            0.074299,            0.033064,            0.073057,             0.07208,            0.009307,            0.009307,            0.009307
                  37,            0.036711,            0.078034,            0.073236,             0.27239,             0.36979,             0.11121,            0.086174,            0.033512,            0.066969,            0.072134,           0.0092872,           0.0092872,           0.0092872
                  38,            0.036261,            0.069036,            0.073462,              0.4037,             0.31805,            0.092471,            0.068534,            0.030662,            0.060576,            0.072359,           0.0092674,           0.0092674,           0.0092674
                  39,            0.036667,            0.072002,            0.073425,             0.53432,             0.31332,             0.13497,             0.10314,            0.028866,            0.059748,            0.072067,           0.0092476,           0.0092476,           0.0092476
                  40,            0.035976,            0.068896,            0.073463,            0.041933,             0.39369,             0.10209,            0.070157,            0.031977,            0.057992,            0.071931,           0.0092278,           0.0092278,           0.0092278
                  41,             0.03621,            0.068506,            0.073181,             0.50704,             0.31696,             0.13339,              0.1039,            0.026175,            0.053738,            0.071715,            0.009208,            0.009208,            0.009208
